Name,java:S6437,java:S4426,java:S2755,java:S2115,java:S5527,java:S4830,java:S5542,java:S5445,java:S4423,java:S4433,secrets:S6706,java:S3329,CLS
8471904a02438c03965d21367890276bc25fa5a6/SimpleBindRequestTestCase.java,3,0,0,0,0,0,0,0,0,0,0,0,pos
843c2e60f67d71faf81d236f448ebbe56c62c647/ECDSA5Test.java,0,2,0,0,0,0,0,0,0,0,0,0,pos
e922f89290f236f3107039de61af0375826bd96d/XmlConverter.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
63df42966cf44ffdd20d3fcdcfb70738c0432ab/TestJdbcDriver2.java,0,0,0,3,0,0,0,0,0,0,0,0,pos
ad6647120db12f0e67ee4a952a71ea494a39a475/FileTransfer.java,0,0,0,0,1,2,0,0,0,0,0,0,pos
25c6704bea149ee93c294ae5b6e0aecd182fea88/DomReaderTest.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
ad38371c396ac5ffbfb28056809e8ffaa5a18ccd/CompareTool.java,0,0,3,0,0,0,0,0,0,0,0,0,pos
ad38371c396ac5ffbfb28056809e8ffaa5a18ccd/InvoiceDOM.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
98e79cf904769907f83894e29f50ed6b3e7eb135/Mailer.java,0,0,0,0,1,0,0,0,0,0,0,0,pos
6fc896b65ed871be33dcf453cde924bf73cf83db/Util.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
39909bf21fd694f4fb792d1de8adc72562ead25e/StyleMapXmlParser.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
39909bf21fd694f4fb792d1de8adc72562ead25e/UIMAFramework_impl.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
39909bf21fd694f4fb792d1de8adc72562ead25e/XMLUtil.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
38a882331035ffed205d15a5c92b471fd09659c/ENCRYPT.java,0,0,0,0,0,0,4,0,0,0,0,0,pos
a09d853dbed712f644e274b497cce254f3189d57/TikaCLITest.java,0,0,0,0,0,0,0,3,0,0,0,0,pos
340569b8f4e14a4cb61a9407ed2d9aa4a20bdf49/IgniteUtils.java,0,0,0,0,2,2,0,0,0,0,0,0,pos
c9b121a88664988ccbabd83fa27bfc2a5e0bd139/StaxDriver.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
b4390f98529fce165e6394b94122b427fdfb8a5e/SslRenegotiateTest.java,0,0,0,0,0,2,0,0,1,0,0,0,pos
4500bf901cb2a7312291b6663045f28a95d2a0c4/X509TokenTest.java,1,0,0,0,0,0,1,0,0,0,0,0,pos
0b5231ada5ce365b41832ba8752ee210145d1cbe/LDAPLoginModuleTest.java,1,0,0,0,0,0,0,0,0,0,0,0,pos
0b5231ada5ce365b41832ba8752ee210145d1cbe/LdapNetworkConnector.java,0,0,0,0,0,0,0,0,0,1,0,0,pos
930a1c81f8ea4952df540f041befbfa2d6757838/XfaForm.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
930a1c81f8ea4952df540f041befbfa2d6757838/XmlUtils.java,0,0,2,0,0,0,0,0,0,0,0,0,pos
3633a832885ebf33b2e22cc1c0c8ce605e2c657/IdentityZoneEndpointDocs.java,0,0,0,0,0,0,0,0,0,0,1,0,pos
7576274874deeccb6da6b09a8d5bd62e8b5538b7/Jaxb2CollectionHttpMessageConverter.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
6a0d7d56e4ffb420316ce7849fde881344fbf881/XmlImporter.java,0,0,1,0,0,0,0,0,0,0,0,0,pos
e56958e7dea05c1784317f139e2216e2e707d391/SSLEngineTest.java,1,0,0,0,0,0,0,0,0,0,0,0,pos
62e4caacd6aadd3f55a7468f4d821c6f40663c57/XmlParserHelper.java,0,0,1,0,0,0,0,0,0,0,0,0,neg
e4c456743a046f37ce9623529635218be7f13e7b/WadlGenerator.java,0,0,1,0,0,0,0,0,0,0,0,0,neg
2b31723708256c08c5209308eb6ccfb03e2ab990/FileTransfer.java,0,0,0,0,1,2,0,0,0,0,0,0,pos
